,,Stated policies scenario,,,,,,Announced pledges scenario,,,,,,Net Zero Emissions by 2050 scenario,,,,,
,2022,2025,2030,2035,2040,2045,2050,2025,2030,2035,2040,2045,2050,2025,2030,2035,2040,2045,2050
,,,,,,,,,,,,,,,,,,,
Boron,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.2,0.4,0.5,0.5,0.5,0.6,0.3,0.7,0.7,0.7,0.5,0.7
Cadmium,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.8,1.2,1.1,1.0,0.6,0.4
Chromium,181.1,217.0,365.1,314.5,427.5,331.1,326.1,267.6,527.8,521.7,606.4,483.2,557.9,407.4,851.9,758.0,721.1,464.2,459.1
Copper,5735.9,6472.9,9298.3,9490.6,9804.6,10680.9,10647.5,7229.5,11363.7,13702.9,15100.3,15896.7,15717.2,8310.1,15731.6,19518.5,20678.1,19091.6,17351.4
Cobalt,68.2,69.5,79.4,83.9,110.1,136.3,145.6,81.8,121.6,168.7,220.6,261.8,295.8,136.8,205.4,248.8,258.5,285.2,290.7
Gallium,0.0,0.0,0.1,0.4,2.6,3.0,3.3,0.0,0.1,0.7,3.9,4.6,5.1,0.0,0.2,1.0,5.5,4.5,5.0
Germanium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Graphite,587.0,987.4,1697.6,1972.7,1957.8,1764.2,1322.6,1171.1,2604.6,3989.4,4056.9,3607.7,2980.9,1948.6,4449.9,6034.2,5353.4,4624.8,3468.2
Hafnium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indium,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1
Iridium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lead,14.1,11.9,13.8,11.7,12.0,16.8,17.7,13.2,16.5,18.0,17.3,21.1,20.8,15.2,30.4,26.0,21.7,19.9,19.4
Lithium,73.2,128.7,239.8,345.7,460.1,518.5,490.4,152.9,368.0,701.7,951.9,1053.4,1089.2,254.1,628.4,1043.8,1187.4,1257.9,1178.5
Magnesium,5.3,3.9,8.0,11.1,12.6,13.8,15.3,5.4,19.5,37.0,39.1,37.7,35.6,7.7,39.9,56.4,55.9,37.2,29.9
Manganese,173.8,162.4,302.8,448.3,672.9,967.9,1175.0,199.3,462.5,875.4,1320.3,1782.8,2292.2,295.2,810.5,1256.4,1507.3,1819.1,2240.3
Molybdenum,25.6,30.7,45.5,40.4,53.5,44.0,45.0,37.8,65.1,64.4,74.0,61.3,71.6,55.4,110.3,94.8,88.2,57.8,63.0
Nickel,456.7,831.1,1381.3,1561.2,2046.4,1925.3,1867.0,1005.4,2131.9,3030.3,3765.3,3634.9,3882.7,1658.9,3452.2,4309.5,4344.8,3966.2,3764.0
Niobium,0.2,0.2,0.6,0.7,1.0,0.7,0.8,0.4,1.3,2.0,2.3,1.9,2.0,0.6,2.3,3.0,3.1,1.9,1.5
PGMs (other than iridum),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.2,0.2,0.2,0.1
Selenium,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1
Silicon,765.1,848.5,982.8,1050.2,1184.9,1296.2,1366.5,1007.9,1319.2,1682.6,1905.7,2061.4,2200.5,1469.5,2473.6,2652.2,2634.7,2179.2,2219.3
Silver,3.9,4.0,4.1,3.5,2.9,2.5,1.9,4.8,5.4,5.1,4.0,3.2,1.9,6.7,9.3,7.8,5.7,3.0,1.4
Tantalum,0.0,0.1,0.2,0.1,0.3,0.1,0.1,0.1,0.3,0.2,0.3,0.2,0.3,0.2,0.4,0.3,0.4,0.2,0.2
Tellurium,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.8,1.2,1.1,1.0,0.6,0.4
Tin,1.3,1.4,1.8,1.8,1.8,2.1,2.4,1.7,2.3,2.6,2.7,3.1,3.4,2.3,3.9,4.0,3.9,3.2,3.6
Titanium,4.7,6.1,8.7,7.5,10.4,7.9,9.9,7.7,13.3,13.5,14.7,12.3,15.5,10.4,20.6,20.2,16.7,11.1,11.2
Tungsten,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1
Vanadium,0.0,0.0,15.4,74.4,220.6,242.9,233.0,0.0,24.1,111.7,367.9,420.2,470.6,0.0,48.0,213.7,671.2,747.4,705.3
Zinc,584.5,624.6,825.0,802.9,750.3,926.5,1022.8,776.9,1178.9,1323.2,1349.2,1344.4,1488.5,1043.3,2226.8,2104.4,1709.0,1196.7,1743.8
Zirconium,0.7,0.6,1.5,1.1,0.9,1.1,1.2,2.8,7.0,6.6,7.0,7.1,8.9,5.1,16.6,17.0,13.3,9.3,12.5
Arsenic,0.0,0.0,0.2,1.1,6.4,7.4,8.3,0.0,0.3,1.7,9.7,11.4,12.8,0.0,0.4,2.5,13.8,11.2,12.5
Neodymium,9.8,13.5,22.4,24.3,26.9,31.6,34.2,16.4,31.0,45.0,54.1,59.1,65.1,23.1,50.1,57.2,53.1,48.9,55.0
Dysprosium,1.0,1.4,2.3,2.4,2.7,3.2,3.4,1.7,3.2,4.5,5.4,6.0,6.6,2.4,5.2,5.9,5.5,5.0,5.8
Praseodymium,1.5,2.1,3.6,3.9,4.3,5.1,5.6,2.6,5.0,7.2,8.7,9.6,10.7,3.6,8.2,9.4,8.9,8.0,9.5
Terbium,0.3,0.4,0.7,0.7,0.7,0.9,1.0,0.5,0.9,1.2,1.5,1.6,1.8,0.6,1.5,1.7,1.6,1.4,1.7
Yttrium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lanthanum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1
Total rare earth elements,12.7,17.5,29.0,31.3,34.6,40.7,44.3,21.2,40.1,58.0,69.7,76.3,84.3,29.8,65.0,74.2,69.1,63.4,72.2
Total,8695.2,10419.7,15302.4,16256.4,17775.3,18931.3,18748.2,11988.8,20275.1,26319.5,29891.2,30788.9,31239.8,15659.6,31181.4,38450.3,39366.0,35857.2,33654.9
